Date_key,Day,Day_of_week,Month,Year,Week_of_month,Week_of_year,Full_date
531,15,1,6,2014,3,25,2014-06-15
532,16,2,6,2014,3,25,2014-06-16
533,17,3,6,2014,3,25,2014-06-17
534,18,4,6,2014,3,25,2014-06-18
535,19,5,6,2014,3,25,2014-06-19
536,20,6,6,2014,3,25,2014-06-20
537,21,7,6,2014,3,25,2014-06-21
538,22,1,6,2014,4,26,2014-06-22
539,23,2,6,2014,4,26,2014-06-23
540,24,3,6,2014,4,26,2014-06-24
541,25,4,6,2014,4,26,2014-06-25
542,26,5,6,2014,4,26,2014-06-26
543,27,6,6,2014,4,26,2014-06-27
544,28,7,6,2014,4,26,2014-06-28
545,29,1,6,2014,5,27,2014-06-29
546,30,2,6,2014,5,27,2014-06-30
547,1,3,7,2014,1,27,2014-07-01
548,2,4,7,2014,1,27,2014-07-02
549,3,5,7,2014,1,27,2014-07-03
550,4,6,7,2014,1,27,2014-07-04
551,5,7,7,2014,1,27,2014-07-05
552,6,1,7,2014,2,28,2014-07-06
553,7,2,7,2014,2,28,2014-07-07
554,8,3,7,2014,2,28,2014-07-08
555,9,4,7,2014,2,28,2014-07-09
556,10,5,7,2014,2,28,2014-07-10
557,11,6,7,2014,2,28,2014-07-11
558,12,7,7,2014,2,28,2014-07-12
559,13,1,7,2014,3,29,2014-07-13
560,14,2,7,2014,3,29,2014-07-14
561,15,3,7,2014,3,29,2014-07-15
562,16,4,7,2014,3,29,2014-07-16
563,17,5,7,2014,3,29,2014-07-17
564,18,6,7,2014,3,29,2014-07-18
565,19,7,7,2014,3,29,2014-07-19
566,20,1,7,2014,4,30,2014-07-20
567,21,2,7,2014,4,30,2014-07-21
568,22,3,7,2014,4,30,2014-07-22
569,23,4,7,2014,4,30,2014-07-23
570,24,5,7,2014,4,30,2014-07-24
571,25,6,7,2014,4,30,2014-07-25
572,26,7,7,2014,4,30,2014-07-26
573,27,1,7,2014,5,31,2014-07-27
574,28,2,7,2014,5,31,2014-07-28
575,29,3,7,2014,5,31,2014-07-29
576,30,4,7,2014,5,31,2014-07-30
577,31,5,7,2014,5,31,2014-07-31
578,1,6,8,2014,1,31,2014-08-01
579,2,7,8,2014,1,31,2014-08-02
580,3,1,8,2014,2,32,2014-08-03
581,4,2,8,2014,2,32,2014-08-04
582,5,3,8,2014,2,32,2014-08-05
583,6,4,8,2014,2,32,2014-08-06
584,7,5,8,2014,2,32,2014-08-07
585,8,6,8,2014,2,32,2014-08-08
586,9,7,8,2014,2,32,2014-08-09
587,10,1,8,2014,3,33,2014-08-10
588,11,2,8,2014,3,33,2014-08-11
589,12,3,8,2014,3,33,2014-08-12
590,13,4,8,2014,3,33,2014-08-13
591,14,5,8,2014,3,33,2014-08-14
592,15,6,8,2014,3,33,2014-08-15
593,16,7,8,2014,3,33,2014-08-16
594,17,1,8,2014,4,34,2014-08-17
595,18,2,8,2014,4,34,2014-08-18
596,19,3,8,2014,4,34,2014-08-19
597,20,4,8,2014,4,34,2014-08-20
598,21,5,8,2014,4,34,2014-08-21
599,22,6,8,2014,4,34,2014-08-22
600,23,7,8,2014,4,34,2014-08-23
601,24,1,8,2014,5,35,2014-08-24
602,25,2,8,2014,5,35,2014-08-25
603,26,3,8,2014,5,35,2014-08-26
604,27,4,8,2014,5,35,2014-08-27
605,28,5,8,2014,5,35,2014-08-28
606,29,6,8,2014,5,35,2014-08-29
607,30,7,8,2014,5,35,2014-08-30
608,31,1,8,2014,6,36,2014-08-31
609,1,2,9,2014,1,36,2014-09-01
610,2,3,9,2014,1,36,2014-09-02
611,3,4,9,2014,1,36,2014-09-03
612,4,5,9,2014,1,36,2014-09-04
613,5,6,9,2014,1,36,2014-09-05
614,6,7,9,2014,1,36,2014-09-06
615,7,1,9,2014,2,37,2014-09-07
616,8,2,9,2014,2,37,2014-09-08
617,9,3,9,2014,2,37,2014-09-09
618,10,4,9,2014,2,37,2014-09-10
619,11,5,9,2014,2,37,2014-09-11
620,12,6,9,2014,2,37,2014-09-12
621,13,7,9,2014,2,37,2014-09-13
622,14,1,9,2014,3,38,2014-09-14
